id,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,sqft_above,sqft_basement,yr_built
7129300520,221900,3,1,1180,5650,1,1180,0,1955
6414100192,538000,3,2.25,2570,7242,2,2170,400,1951
5631500400,180000,2,1,770,10000,1,770,0,1933
2487200875,604000,4,3,1960,5000,1,1050,910,1965
1954400510,510000,3,2,1680,8080,1,1680,0,1987
7237550310,1.225e+006,4,4.5,5420,101930,1,3890,1530,2001
1321400060,257500,3,2.25,1715,6819,2,1715,0,1995
2008000270,291850,3,1.5,1060,9711,1,1060,0,1963
2414600126,229500,3,1,1780,7470,1,1050,730,1960
3793500160,323000,3,2.5,1890,6560,2,1890,0,2003
1736800520,662500,3,2.5,3560,9796,1,1860,1700,1965
9212900260,468000,2,1,1160,6000,1,860,300,1942
0114101516,310000,3,1,1430,19901,1.5,1430,0,1927
6054650070,400000,3,1.75,1370,9680,1,1370,0,1977
1175000570,530000,5,2,1810,4850,1.5,1810,0,1900
9297300055,650000,4,3,2950,5000,2,1980,970,1979
1875500060,395000,3,2,1890,14040,2,1890,0,1994
6865200140,485000,4,1,1600,4300,1.5,1600,0,1916
0016000397,189000,2,1,1200,9850,1,1200,0,1921
7983200060,230000,3,1,1250,9774,1,1250,0,1969
6300500875,385000,4,1.75,1620,4980,1,860,760,1947
2524049179,2e+006,3,2.75,3050,44867,1,2330,720,1968
7137970340,285000,5,2.5,2270,6300,2,2270,0,1995
8091400200,252700,2,1.5,1070,9643,1,1070,0,1985
3814700200,329000,3,2.25,2450,6500,2,2450,0,1985
1202000200,233000,3,2,1710,4697,1.5,1710,0,1941
1794500383,937000,3,1.75,2450,2691,2,1750,700,1915
3303700376,667000,3,1,1400,1581,1.5,1400,0,1909
5101402488,438000,3,1.75,1520,6380,1,790,730,1948
1873100390,719000,4,2.5,2570,7173,2,2570,0,2005
8562750320,580500,3,2.5,2320,3980,2,2320,0,2003
2426039314,280000,2,1.5,1190,1265,3,1190,0,2005
0461000390,687500,4,1.75,2330,5000,1.5,1510,820,1929
7589200193,535000,3,1,1090,3000,1.5,1090,0,1929
7955080270,322500,4,2.75,2060,6659,1,1280,780,1981
9547205180,696000,3,2.5,2300,3060,1.5,1510,790,1930
9435300030,550000,4,1,1660,34848,1,930,730,1933
2768000400,640000,4,2,2360,6000,2,2360,0,1904
7895500070,240000,4,1,1220,8075,1,890,330,1969
2078500320,605000,4,2.5,2620,7553,2,2620,0,1996
5547700270,625000,4,2.5,2570,5520,2,2570,0,2000
7766200013,775000,4,2.25,4220,24186,1,2600,1620,1984
7203220400,861990,5,2.75,3595,5639,2,3595,0,2014
9270200160,685000,3,1,1570,2280,2,1570,0,1922
1432701230,309000,3,1,1280,9656,1,920,360,1959
8035350320,488000,3,2.5,3160,13603,2,3160,0,2003
8945200830,210490,3,1,990,8528,1,990,0,1966
4178300310,785000,4,2.5,2290,13416,2,2290,0,1981
9215400105,450000,3,1.75,1250,5963,1,1250,0,1953
0822039084,1.35e+006,3,2.5,2753,65005,1,2165,588,1953
5245600105,228000,3,1,1190,9199,1,1190,0,1955
7231300125,345000,5,2.5,3150,9134,1,1640,1510,1966
7518505990,600000,3,1.75,1410,4080,1,1000,410,1950
